artist_name,track_name,danceability,valence,energy,loudness,acousticness,instrumentalness,liveness,speechiness,key,tempo,mode,duration_ms,time_signature
Feid,CLASSY 101,0.859,0.672,0.658,-4.79,0.145,0.0,0.12,0.159,11,100.065,1,195987,4
Doja Cat,Paint The Town Red,0.864,0.726,0.556,-7.683,0.255,3.85e-06,0.112,0.194,2,99.974,0,230480,4
The Neighbourhood,Sweater Weather,0.612,0.398,0.807,-2.81,0.0495,0.0177,0.101,0.0336,10,124.053,1,240400,4
SZA,Snooze,0.559,0.392,0.551,-7.231,0.141,0.0,0.11,0.132,5,143.008,1,201800,4
Taylor Swift,Blank Space,0.753,0.583,0.678,-5.421,0.085,1.64e-06,0.13,0.0644,5,96.006,1,231827,4
The Weeknd,Blinding Lights,0.514,0.334,0.73,-5.934,0.00146,9.54e-05,0.0897,0.0598,1,171.005,1,200040,4
Bad Bunny,WHERE SHE GOES,0.651,0.223,0.799,-4.02,0.143,0.634,0.112,0.0611,9,143.992,0,231704,4
Jimin,Like Crazy,0.629,0.362,0.733,-5.445,0.0025,0.0,0.357,0.0419,7,120.001,1,212241,4
Eminem,Mockingbird,0.637,0.254,0.678,-3.798,0.209,0.0,0.156,0.266,0,84.039,1,250760,4
RAYE,Escapism.,0.538,0.25,0.742,-5.355,0.138,4.67e-05,0.0934,0.114,2,96.107,1,272373,4
Olivia Rodrigo,vampire,0.511,0.35,0.532,-5.745,0.177,0.0,0.291,0.0578,5,138.005,1,219724,4
Peso Pluma,PRC,0.784,0.893,0.826,-6.34,0.0965,7.09e-05,0.123,0.0538,7,138.078,0,184066,3
"Tyler, The Creator",See You Again (feat. Kali Uchis),0.558,0.62,0.559,-9.222,0.371,7.49e-06,0.109,0.0959,6,78.558,1,180387,4
Bad Bunny,Me Porto Bonito,0.911,0.425,0.712,-5.105,0.0901,2.68e-05,0.0933,0.0817,1,92.005,0,178567,4
NewJeans,OMG,0.804,0.739,0.771,-4.067,0.357,3.07e-06,0.108,0.0433,9,126.956,0,212253,4
Natanael Cano,AMG,0.772,0.786,0.73,-6.657,0.152,0.000107,0.274,0.0972,11,136.175,0,174943,3
d4vd,Romantic Homicide,0.571,0.216,0.544,-10.613,0.453,0.00805,0.322,0.0299,6,132.052,1,132631,4
