artist,album_name,album_uri,track,trackuri,release_date,id,song_uri,track_href,analysis_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Harry Styles,Harry's House,spotify:album:5r36AJ6VOJtp00oxSkBZ5h,Daydreaming,spotify:track:69w5X6uTrOaWM32IetSzvO,5/20/2022,6tnrFU8iLQ6orFXjCA3flL,spotify:track:6tnrFU8iLQ6orFXjCA3flL,https://api.spotify.com/v1/tracks/6tnrFU8iLQ6orFXjCA3flL,https://api.spotify.com/v1/audio-analysis/6tnrFU8iLQ6orFXjCA3flL,0.642,0.87,9,-2.879,1,0.034,0.0113,0,0.677,0.649,129.982,208627,4
USHER,Raymond v Raymond (Expanded Edition),spotify:album:6A1F3Fkq5dYeYYNkXflcTX,Somebody to Love (feat. Justin Bieber) - Remix,spotify:track:6tnrFU8iLQ6orFXjCA3flL,3/30/2010,0PJIbOdMs3bd5AT8liULMQ,spotify:track:0PJIbOdMs3bd5AT8liULMQ,https://api.spotify.com/v1/tracks/0PJIbOdMs3bd5AT8liULMQ,https://api.spotify.com/v1/audio-analysis/0PJIbOdMs3bd5AT8liULMQ,0.418,0.724,5,-3.724,1,0.0964,0.213,0,0.112,0.604,78.521,238320,5
Jeremih,Late Nights: The Album,spotify:album:7DMyQuDPe8xzjC0UDSDa96,oui,spotify:track:0PJIbOdMs3bd5AT8liULMQ,12/4/2015,5IVuqXILoxVWvWEPm82Jxr,spotify:track:5IVuqXILoxVWvWEPm82Jxr,https://api.spotify.com/v1/tracks/5IVuqXILoxVWvWEPm82Jxr,https://api.spotify.com/v1/audio-analysis/5IVuqXILoxVWvWEPm82Jxr,0.646,0.77,2,-6.596,0,0.226,0.00249,0,0.0715,0.681,99.165,236133,4
Beyoncé,Dangerously In Love,spotify:album:6oxVabMIqCMJRYN1GqR3Vf,Crazy In Love (feat. Jay-Z),spotify:track:5IVuqXILoxVWvWEPm82Jxr,6/24/2003,1z6WtY7X4HQJvzxC4UgkSf,spotify:track:1z6WtY7X4HQJvzxC4UgkSf,https://api.spotify.com/v1/tracks/1z6WtY7X4HQJvzxC4UgkSf,https://api.spotify.com/v1/audio-analysis/1z6WtY7X4HQJvzxC4UgkSf,0.652,0.749,0,-5.248,1,0.0886,0.0848,0,0.604,0.651,94.103,267413,4
Beyoncé,4,spotify:album:1gIC63gC3B7o7FfpPACZQJ,Love On Top,spotify:track:1z6WtY7X4HQJvzxC4UgkSf,6/24/2011,1L5tZi0izXsi5Kk5OJf4W0,spotify:track:1L5tZi0izXsi5Kk5OJf4W0,https://api.spotify.com/v1/tracks/1L5tZi0izXsi5Kk5OJf4W0,https://api.spotify.com/v1/audio-analysis/1L5tZi0izXsi5Kk5OJf4W0,0.434,0.872,0,-2.974,1,0.0702,0.0473,1.83e-06,0.396,0.732,71.515,213760,4
Amy Winehouse,Back To Black,spotify:album:097eYvf9NKjFnv4xA9s2oV,Rehab,spotify:track:1L5tZi0izXsi5Kk5OJf4W0,10/27/2006,2oENJa1T33GJ0w8dC167G4,spotify:track:2oENJa1T33GJ0w8dC167G4,https://api.spotify.com/v1/tracks/2oENJa1T33GJ0w8dC167G4,https://api.spotify.com/v1/audio-analysis/2oENJa1T33GJ0w8dC167G4,0.839,0.804,1,-2.513,1,0.0329,0.0192,0,0.331,0.888,122.973,239987,4
Sean Kingston,Tomorrow,spotify:album:33YSJfsBkjN3yqcq18bdRi,Fire Burning,spotify:track:2oENJa1T33GJ0w8dC167G4,9/7/2009,4yHFxB8kzzeuNvoouR8N0N,spotify:track:4yHFxB8kzzeuNvoouR8N0N,https://api.spotify.com/v1/tracks/4yHFxB8kzzeuNvoouR8N0N,https://api.spotify.com/v1/audio-analysis/4yHFxB8kzzeuNvoouR8N0N,0.774,0.653,8,-5.158,0,0.05,0.0912,0,0.151,0.818,120.01,244267,4
Danity Kane,Welcome to the Dollhouse,spotify:album:3NSb7dq7re8pssO2ukY1ta,Damaged,spotify:track:4yHFxB8kzzeuNvoouR8N0N,3/17/2008,4w1lzcaoZ1IC2K5TwjalRP,spotify:track:4w1lzcaoZ1IC2K5TwjalRP,https://api.spotify.com/v1/tracks/4w1lzcaoZ1IC2K5TwjalRP,https://api.spotify.com/v1/audio-analysis/4w1lzcaoZ1IC2K5TwjalRP,0.56,0.825,11,-3.862,1,0.0379,0.323,0,0.161,0.268,94.931,237493,4
Vanessa Carlton,Be Not Nobody,spotify:album:5e7T2qUigzt0oIr50KsOld,A Thousand Miles,spotify:track:4w1lzcaoZ1IC2K5TwjalRP,4/30/2002,7oK9VyNzrYvRFo7nQEYkWN,spotify:track:7oK9VyNzrYvRFo7nQEYkWN,https://api.spotify.com/v1/tracks/7oK9VyNzrYvRFo7nQEYkWN,https://api.spotify.com/v1/audio-analysis/7oK9VyNzrYvRFo7nQEYkWN,0.356,0.924,1,-3.74,1,0.0808,0.00101,0,0.0953,0.232,148.017,222587,4
The Killers,Hot Fuss,spotify:album:4undIeGmofnAYKhnDclN1w,Mr. Brightside,spotify:track:7oK9VyNzrYvRFo7nQEYkWN,6/15/2004,4E6cwWJWZw2zWf7VFbH7wf,spotify:track:4E6cwWJWZw2zWf7VFbH7wf,https://api.spotify.com/v1/tracks/4E6cwWJWZw2zWf7VFbH7wf,https://api.spotify.com/v1/audio-analysis/4E6cwWJWZw2zWf7VFbH7wf,0.583,0.786,2,-3.142,0,0.0301,0.0208,0,0.188,0.573,123.055,258827,4
Sara Bareilles,Little Voice,spotify:album:2Z9WUERfMjOgQ6ze9TcGbF,Love Song,spotify:track:4E6cwWJWZw2zWf7VFbH7wf,7/3/2007,0KKkJNfGyhkQ5aFogxQAPU,spotify:track:0KKkJNfGyhkQ5aFogxQAPU,https://api.spotify.com/v1/tracks/0KKkJNfGyhkQ5aFogxQAPU,https://api.spotify.com/v1/audio-analysis/0KKkJNfGyhkQ5aFogxQAPU,0.853,0.56,1,-4.961,1,0.0406,0.013,0,0.0944,0.86,134.066,206693,4
Bruno Mars,24K Magic,spotify:album:4PgleR09JVnm3zY1fW3XBA,That's What I Like,spotify:track:0KKkJNfGyhkQ5aFogxQAPU,11/17/2016,1KGi9sZVMeszgZOWivFpxs,spotify:track:1KGi9sZVMeszgZOWivFpxs,https://api.spotify.com/v1/tracks/1KGi9sZVMeszgZOWivFpxs,https://api.spotify.com/v1/audio-analysis/1KGi9sZVMeszgZOWivFpxs,0.743,0.675,8,-4.267,0,0.0953,0.0251,0.000717,0.0685,0.59,92.909,214400,4
TLC,Fanmail,spotify:album:1CvjjpvqVMoyprsf74bpYW,No Scrubs,spotify:track:1KGi9sZVMeszgZOWivFpxs,2/23/1999,7AqISujIaWcY3h5zrOqt5v,spotify:track:7AqISujIaWcY3h5zrOqt5v,https://api.spotify.com/v1/tracks/7AqISujIaWcY3h5zrOqt5v,https://api.spotify.com/v1/audio-analysis/7AqISujIaWcY3h5zrOqt5v,0.696,0.875,0,-3.682,1,0.0649,0.134,0,0.159,0.772,127.39,222733,4
CeeLo Green,The Lady Killer,spotify:album:0kA2VAfzhFIIv0jEHdFKEN,Forget You,spotify:track:7AqISujIaWcY3h5zrOqt5v,11/9/2010,27L8sESb3KR79asDUBu8nW,spotify:track:27L8sESb3KR79asDUBu8nW,https://api.spotify.com/v1/tracks/27L8sESb3KR79asDUBu8nW,https://api.spotify.com/v1/audio-analysis/27L8sESb3KR79asDUBu8nW,0.774,0.75,11,-4.927,0,0.0412,0.00207,1.78e-05,0.0808,0.927,118.015,197987,4
Fountains Of Wayne,Welcome Interstate Managers,spotify:album:6TZp52tXShLQbq8yNMxqNT,Stacy's Mom,spotify:track:27L8sESb3KR79asDUBu8nW,1/1/2003,3a2tuvXCHbW5nuUckuHkKT,spotify:track:3a2tuvXCHbW5nuUckuHkKT,https://api.spotify.com/v1/tracks/3a2tuvXCHbW5nuUckuHkKT,https://api.spotify.com/v1/audio-analysis/3a2tuvXCHbW5nuUckuHkKT,0.445,0.757,1,-5.177,1,0.0322,0.0206,0,0.146,0.421,102.878,266600,4
